sbd,toán,ngữ văn,lịch sử,địa lí,giáo dục công dân,sinh học,vật lý,hóa học,ngoại ngữ
4000042,7,5.5,-1,-1,-1,6,6,6,5.2
4000043,-1,-1,-1,-1,-1,-1,-1,-1,-1
4000044,7.4,5.5,-1,-1,-1,7,6,5,7
4000045,6.4,6.5,-1,-1,-1,6,6,8,7
4000046,7.8,9,5.75,7,9.25,-1,-1,-1,9
4000047,6.2,6.25,4.5,5.75,8.25,-1,-1,-1,4.2
4000048,7,7,-1,-1,-1,7,7,8,5.8
4000049,7.4,5.5,-1,-1,-1,4,7,4,3.6
4000050,8.8,7,-1,-1,-1,6,8,8,2
4000051,7,8,4.5,4.5,9.25,-1,-1,-1,8.2
4000052,8.2,7.5,5,4.25,8,-1,-1,-1,8
4000053,7.4,7,5.25,5.75,9,-1,-1,-1,4.2
4000054,8.4,6.5,-1,-1,-1,8,5,8,6.6
4000055,8,8,8.75,8,10,-1,-1,-1,6.6
4000056,7,8.5,-1,-1,-1,8,5,6,7.4
4000057,6.8,6,-1,-1,-1,5,6,7,7
4000058,7.4,6.5,5.5,4.25,7.25,-1,-1,-1,6.2
4000059,2,3.25,4.25,5.25,7,-1,-1,-1,2.4
4000060,6.6,7,-1,-1,-1,6,7,7,5
4000061,6.4,5.75,-1,-1,-1,5,5,6,4.6
4000062,8.6,7,5.25,6.25,8.75,-1,-1,-1,5.4
4000063,7.6,5.25,5.25,5.25,5.75,-1,-1,-1,4.4
4000064,5.2,6.75,3.25,3.25,5.5,-1,-1,-1,3.2
4000065,4.4,6.25,5.25,6,8.25,-1,-1,-1,5.4
4000066,5.6,3,5.25,5.75,6.75,-1,-1,-1,3.2
4000067,8.2,6.5,-1,-1,-1,7,8,8,6.4
4000068,3.2,4,3,4.75,4.5,-1,-1,-1,3.6
4000069,7.6,7,-1,-1,-1,7,7,8,8.2
4000070,8.2,6.5,-1,-1,-1,5,8,4,8.4
4000071,8.4,5.25,-1,-1,-1,6,8,8,4.8
4000072,7.2,6,-1,-1,-1,6,6,6,5.8
4000073,5,3.5,-1,-1,-1,4,-1,-1,4.4
4000074,8,4,-1,-1,-1,4,6,4,7.4
4000075,7.2,6,7.5,6.25,7.75,-1,-1,-1,5.6
4000076,8,5,-1,-1,-1,5,7,4,7
4000077,7,5.25,7.5,6.25,9,-1,-1,-1,3.4
4000078,6.6,6,5.25,4.25,7,-1,-1,-1,5.6
4000079,9,7,-1,-1,-1,7,8,8,3.6
4000080,7.2,7.5,6.25,5.5,6.75,-1,-1,-1,7.8
4000081,8.2,6,-1,-1,-1,8,8,9,7.4
4000082,7,8.25,5,4.5,9,-1,-1,-1,7.8
4000083,8,7,-1,-1,-1,6,9,5,7.8
4000084,6.4,7,7.75,8,9.75,-1,-1,-1,2.8
4000085,7.4,-1,-1,-1,-1,-1,7,-1,8.4
4000086,8.8,5.5,-1,-1,-1,6,7,8,6.8
4000087,6.4,5,-1,-1,-1,5,4,3,5.8
4000088,7.6,7.75,4.5,5.5,7.5,-1,-1,-1,7.6
4000089,2.8,8.5,7.25,6.25,7.25,-1,-1,-1,4.4
4000090,5.6,8,-1,-1,-1,8,4,7,5.6
4000091,5,5.75,5,6,8.75,-1,-1,-1,4.2
4000092,7.6,5,-1,-1,-1,4,4,6,4
4000093,7.6,8.5,6.75,5.5,8.25,-1,-1,-1,8.8
4000094,7.2,7,3.5,5,7.25,-1,-1,-1,6.4
4000095,7.8,5.25,-1,-1,-1,4,6,7,4.8
4000096,7.4,6.25,3.75,4.5,8.25,-1,-1,-1,4.8
4000097,7.6,8,7,6.25,7.75,-1,-1,-1,5.2
4000098,7,6.5,7.75,7,6.75,-1,-1,-1,3.2
4000099,-1,-1,-1,-1,-1,-1,-1,-1,-1
4000100,5.2,7,6,7,7.75,-1,-1,-1,2.8
4000101,7.2,6,3,5.75,5.75,-1,-1,-1,2
4000102,7.8,8.25,6.5,6,8,-1,-1,-1,9
4000103,8.6,8.75,7.5,6.75,8.75,-1,-1,-1,9.6
4000104,6.2,6.25,5.5,6,8.75,-1,-1,-1,9.2
4000105,6.6,8.25,5,5,8.5,-1,-1,-1,6
4000106,7.4,8,4.25,5,8,-1,-1,-1,7.8
4000107,5.4,7.5,7.5,6,8.25,-1,-1,-1,5
4000108,5.4,4.5,5.75,4.5,8.5,-1,-1,-1,2.8
4000109,5,7,3.5,5,9,-1,-1,-1,6.8
4000110,8.6,6.5,-1,-1,-1,6,6,8,7.2
4000111,7.2,6,-1,-1,-1,4,4,6,7.6
4000112,6.4,6.5,-1,-1,-1,6,8,4,7
4000113,7.2,6,8,6.5,8.75,-1,-1,-1,5.2
4000114,6.8,5.5,-1,-1,-1,7,5,6,3.4
4000115,7.4,5.5,-1,-1,-1,6,9,4,7
4000116,3.4,5,4,5.75,6.5,-1,-1,-1,2.2
4000117,8.6,6.75,-1,-1,-1,8,9,10,7.4
4000118,9.4,6.5,-1,-1,-1,7,9,8,9.2
4000119,7.8,6,-1,-1,-1,6,8,8,6.2
4000120,2.8,3.75,4.75,6.25,6,-1,-1,-1,2.6
4000121,7.2,6.25,-1,-1,-1,6,6,6,4.8
4000122,3.8,5.25,4.75,-1,-1,-1,-1,-1,2.6
4000123,6.2,5.75,5,7,8.25,-1,-1,-1,3.4
4000124,7.6,6.25,4.75,6.25,9,-1,-1,-1,5
4000125,3.2,1.25,5,3,4.5,-1,-1,-1,3.4
4000126,6.8,7.75,6.75,6.25,7.5,-1,-1,-1,7.6
4000127,8.4,7,-1,-1,-1,9,5,8,8.2
4000128,7,7.75,5,6.25,7.5,-1,-1,-1,4.6
4000129,6.8,6,-1,-1,-1,6,8,5,7.6
4000130,7.2,6,-1,-1,-1,8,3,8,5.2
4000131,7.2,6.25,-1,-1,-1,7,5,7,5.2
4000132,2.8,5.25,4.25,5.25,6.5,-1,-1,-1,3.4
4000133,4.8,6,4.25,5.25,7.75,-1,-1,-1,4
4000134,5.4,5,8.5,7.25,10,-1,-1,-1,8.6
4000135,7,7.25,6.25,7,9.75,-1,-1,-1,5.8
4000136,7.6,6.5,-1,-1,-1,7,6,8,3.2
4000137,8.4,5.25,-1,-1,-1,4,6,4,6.8
4000138,4.4,8,5.5,4.5,7.25,-1,-1,-1,2.2
4000139,5.4,3.5,4.5,4.5,5.75,-1,-1,-1,3.2
4000140,7,7.75,7.25,7,9,-1,-1,-1,6.6
4000141,7.2,6.75,-1,-1,-1,6,6,7,5.2
4000142,5,7.75,6.25,4.5,8.25,-1,-1,-1,4
4000143,7.8,8.5,6.75,5.5,8.25,-1,-1,-1,7.2
4000144,8.2,6.75,-1,-1,-1,7,5,7,9.8
4000145,7.8,6.25,-1,-1,-1,8,4,8,7.4
4000146,8,8,-1,-1,-1,9,5,9,8
4000147,8,6,-1,-1,-1,6,7,8,6.4
4000148,8,5.75,-1,-1,-1,8,6,7,7
4000149,7.6,7.5,-1,-1,-1,8,5,6,5.2
4000150,6.6,5.75,-1,-1,-1,6,5,6,6.6
4000151,8,6.5,-1,-1,-1,8,8,8,8
4000152,8,6.5,7.5,7,9.75,-1,-1,-1,4
4000153,3.2,3.5,3,4.25,7,-1,-1,-1,2.8
4000154,3.8,2.5,3,3,4.25,-1,-1,-1,2
4000155,2,1.75,2.5,5.25,4.75,-1,-1,-1,3.4
4000156,7.6,6,-1,-1,-1,4,6,7,4.6
4000157,6.6,6,7.25,6.75,8.5,-1,-1,-1,4.6
4000158,8.4,7.5,-1,-1,-1,8,9,8,4.8
4000159,8,6.5,-1,-1,-1,7,8,6,8.4
4000160,6.6,5.25,-1,-1,-1,5,6,6,6.6
4000161,5.6,5.25,5.75,7.5,8.25,-1,-1,-1,2.8
4000162,9.2,5.75,-1,-1,-1,6,9,9,7.2
4000163,7.6,8.25,5,4.5,9.25,-1,-1,-1,7
4000164,7.8,7.75,7.25,8.75,10,-1,-1,-1,8.2
4000165,8,5.5,-1,-1,-1,4,6,6,2.6
4000166,7.2,6.5,-1,-1,-1,4,7,8,5.4
4000167,7.8,6.25,5.75,5.75,8.5,-1,-1,-1,6.4
4000168,5.2,6.25,8.25,6.75,9.5,-1,-1,-1,3
4000169,6.4,5.5,-1,-1,-1,7,5,5,5.4
4000170,5,6,8.25,6,7.25,-1,-1,-1,3.2
4000171,7.4,7.5,5.75,6.25,8.75,-1,-1,-1,5.8
4000172,7.8,7.5,4.75,5.5,7,-1,-1,-1,8.6
4000173,8.6,8.75,6.75,6.75,9.5,-1,-1,-1,9
4000174,7.8,7.25,-1,-1,-1,8,5,8,5
4000175,5.2,7.5,5.25,3.75,6.75,-1,-1,-1,3.2
4000176,6.4,8.5,4.5,6.5,9.25,-1,-1,-1,8.6
4000177,2.6,2.25,2.25,6.25,5.5,-1,-1,-1,3.8
4000178,8.2,6,-1,-1,-1,6,7,8,5.6
4000179,7.6,5.25,-1,-1,-1,6,8,8,7.2
4000180,6.6,6.25,-1,-1,-1,5,6,7,4.4
4000181,7,5.75,-1,-1,-1,7,7,7,3.6
4000182,4.4,5.25,5,4.25,7,-1,-1,-1,3.4
4000183,7.8,6.5,-1,-1,-1,6,6,8,7.2
4000184,8.2,5.75,-1,-1,-1,4,6,8,4.4
4000185,5,6.75,4.75,6.25,8,-1,-1,-1,7.6
4000186,7.6,5.5,-1,-1,-1,5,6,6,6.6
4000187,6.4,6,-1,-1,-1,7,6,6,8.2
4000188,7.6,6.75,6.75,6.75,9.5,-1,-1,-1,9.2
4000189,8.4,7.5,-1,-1,-1,7,9,8,8.8
4000190,8,6,3.25,6.5,8.25,-1,-1,-1,7
4000191,4,4.75,7,6,7.5,-1,-1,-1,6.6
4000192,5.4,6.75,5,6,8,-1,-1,-1,5
4000193,5.2,3.25,5,3.75,5.5,-1,-1,-1,-1
4000194,7.8,6,-1,-1,-1,6,4,9,4.2
4000195,8.2,7,-1,-1,-1,6,8,8,5
4000196,8.8,6.5,-1,-1,-1,8,9,8,8.4
4000197,8.4,5.75,-1,-1,-1,6,8,9,5
4000198,7.6,4.25,-1,-1,-1,6,4,7,-1
4000199,7.2,5.5,4.5,5.75,7,-1,-1,-1,3.6
4000200,6.2,5.5,-1,-1,-1,5,7,4,9
4000201,4.8,4.25,4,5.25,5.5,-1,-1,-1,3.4
4000202,8,5,-1,-1,-1,9,4,8,3.2
4000203,5.8,6.25,4.5,5,7.5,-1,-1,-1,2.8
4000204,7.6,4.75,-1,-1,-1,4,5,2,4.6
4000205,8.8,3,-1,-1,-1,3,8,9,6.4
4000206,7.2,4.5,-1,-1,-1,7,6,6,5.8
4000207,2,2.75,4.75,3.5,6.5,-1,-1,-1,2.8
4000208,6.4,6.75,5.5,6.5,8,-1,-1,-1,6.6
4000209,8,5.75,-1,-1,-1,8,8,8,9.2
4000210,5.8,3.75,4.5,5,6.25,-1,-1,-1,4.6
4000211,2.8,3,3.25,3.25,4.5,-1,-1,-1,3
4000212,5.6,5.75,6.5,4.5,7.25,-1,-1,-1,5
4000213,5.2,3.75,5.25,4.75,8.25,-1,-1,-1,2.6
4000214,7.4,6,-1,-1,-1,4,6,6,4
4000215,3.8,3.5,-1,-1,-1,4,4,3,1.2
4000216,6.8,6,6.25,5.5,8.75,-1,-1,-1,6.2
4000217,7,8,2.75,4.75,6.25,-1,-1,-1,3.8
4000218,7,7.5,5.5,5.25,7.25,-1,-1,-1,5.6
4000219,8.4,7.5,6.5,5.5,8.5,-1,-1,-1,7.6
4000220,7.2,6.5,-1,-1,-1,4,5,6,4.8
4000221,-1,-1,-1,-1,-1,-1,-1,-1,-1
4000222,7.2,8,6,7.25,7.75,-1,-1,-1,6
4000223,5.6,6.5,7,5.5,8.75,-1,-1,-1,5.4
4000224,6.6,6,-1,-1,-1,5,4,6,5.2
4000225,6.8,7.5,8,6.75,9.5,-1,-1,-1,6.6
4000226,8.4,5.75,-1,-1,-1,5,8,7,5.2
4000227,7.4,8,6.25,6.25,8,-1,-1,-1,5.2
4000228,5.6,3.5,4.75,5.75,6.5,-1,-1,-1,2.8
4000229,7.6,7,-1,-1,-1,6,8,8,6.4
4000230,8,8.5,-1,-1,-1,7,8,7,9.2
4000231,8.8,7.75,-1,-1,-1,7,9,8,7.6
4000232,8.6,7.5,6.5,4.5,9.5,-1,-1,-1,6.8
4000233,8.6,9.25,7.25,6.25,9.5,-1,-1,-1,8.4
4000234,8,7.75,7.5,7.5,9.25,-1,-1,-1,8.4
4000235,6.4,7.25,7.25,6,9.5,-1,-1,-1,7.6
4000236,5.8,6.5,6.5,5.25,8.25,-1,-1,-1,4.8
4000237,6.4,7,-1,-1,-1,7,4,8,4.8
4000238,8,8,6.5,7.25,9.25,-1,-1,-1,8.6
4000239,-1,-1,-1,-1,-1,-1,-1,-1,-1
4000240,7.2,5.75,8.25,7.5,8.75,-1,-1,-1,2.8
4000241,4.4,6.75,5.25,5.25,8,-1,-1,-1,2.8
4000242,5,7.75,5.25,5.25,7.5,-1,-1,-1,5.4
4000243,7.8,5.5,-1,-1,-1,6,6,6,7.2
4000244,4.6,5.5,3.75,5,8.25,-1,-1,-1,5
4000245,7.2,6,4.25,5.5,9.75,-1,-1,-1,6.2
4000246,8,6.5,6,6.5,7.5,-1,-1,-1,4.2
4000247,7.2,7,8.25,6.75,8.75,-1,-1,-1,4.2
4000248,-1,1.5,-1,-1,5.75,-1,-1,-1,2.8
4000249,7.8,7.25,4.25,4.25,6.5,-1,-1,-1,7.8
4000250,7.4,8,6.75,6.75,7.75,-1,-1,-1,7.8
4000251,4.6,6.25,6.5,5,9,-1,-1,-1,6.6
4000252,5.8,5.75,4.5,4,7.25,-1,-1,-1,3.6
4000253,8,8.25,8.25,7,8.75,-1,-1,-1,9.8
4000254,6.6,7,7.25,7,8.75,-1,-1,-1,5.4
4000255,6.8,8,4.5,5.25,7.75,-1,-1,-1,6.8
4000256,7,6.5,5.75,6.5,9.5,-1,-1,-1,5.4
4000257,8.6,-1,-1,-1,-1,-1,8,-1,8.8
4000258,6.8,6.75,5,6.75,8.75,-1,-1,-1,7.6
4000259,7,7.75,3.75,5.25,7.25,-1,-1,-1,5.2
4000260,6.4,4.5,2.75,3.75,-1,-1,-1,-1,4
4000261,5,5.5,4.25,5.5,5.75,-1,-1,-1,3.6
4000262,6.2,6,3.25,4.5,6.5,-1,-1,-1,4
4000263,7,6.75,5.25,7.25,8.5,-1,-1,-1,8.6
4000264,5,5.5,4.5,4.75,7.25,-1,-1,-1,3
4000265,5.2,6.5,4.25,5,9,-1,-1,-1,2.6
4000266,4.8,5.5,6.5,5,6.25,-1,-1,-1,2.2
4000267,8.4,6.5,6,6.75,9,-1,-1,-1,7.2
4000268,2,4,4,6.25,4.5,-1,-1,-1,3.6
4000269,7.6,7.75,-1,-1,-1,-1,-1,-1,5.8
4000270,-1,-1,-1,-1,-1,-1,-1,-1,-1
4000271,4.8,3.25,4.25,-1,-1,-1,-1,-1,4.6
4000272,6,-1,-1,-1,-1,-1,-1,-1,-1
4000273,-1,7.25,6.75,7,8.25,-1,-1,-1,7.2
4000274,7,8,-1,-1,-1,-1,-1,-1,7.8
4000275,-1,4.75,5.75,-1,-1,-1,-1,-1,4.6
4000276,5,6.5,8.5,7.75,10,-1,-1,-1,4.6
4000277,8.6,-1,-1,-1,-1,8,-1,8,-1
4000278,5.6,6.25,5.25,4.5,-1,-1,-1,-1,4.8
4000279,3,5,6.5,-1,-1,-1,-1,-1,2.8
4000280,7.6,-1,-1,-1,-1,-1,4,5,-1
4000281,-1,5.75,5.5,5.75,-1,-1,-1,-1,-1
4000282,8.6,-1,-1,-1,-1,-1,8,-1,8.8
4000283,8.4,-1,-1,-1,-1,-1,6,-1,6.4
4000284,6.8,7.25,4.75,6.25,7.25,-1,-1,-1,2.8
4000285,8.4,-1,-1,-1,-1,8,-1,8,-1
4000286,6.6,8,-1,-1,-1,-1,-1,-1,7.6
4000287,7.4,-1,-1,-1,-1,8,-1,8,-1
4000288,8.6,7,5,6.5,9.25,-1,-1,-1,7.8
4000289,5,8,7,6.25,9.25,-1,-1,-1,7
4000290,8,7.5,-1,-1,-1,8,5,8,4.2
4000291,6.4,7.75,-1,-1,-1,6,4,7,5.8
4000292,7,5.75,-1,-1,-1,6,6,6,5.4
4000293,6.2,6.5,5.75,5.5,8.75,-1,-1,-1,4
4000294,7.4,8,6,7,9,-1,-1,-1,6.8
4000295,7,6.75,6,6,9.25,-1,-1,-1,9.4
4000296,7.4,8.75,6,5.75,8.75,-1,-1,-1,8.2
4000297,7,8,5.25,7.25,9.25,-1,-1,-1,6.4
4000298,6.8,6.5,4.5,5.25,8.5,-1,-1,-1,5.2
4000299,5,5.25,2.5,4.75,6.5,-1,-1,-1,2.2
4000300,8.2,9,8.5,8.75,10,-1,-1,-1,6.2
4000301,6,7.5,-1,-1,-1,7,3,7,4.2
4000302,5.4,6.5,7,6.25,7.5,-1,-1,-1,4.4
4000303,6.8,6.5,-1,-1,-1,4,6,8,3.4
4000304,6.6,8.75,8.75,7.5,9.5,-1,-1,-1,7.2
4000305,5.8,7,4,4,6.75,-1,-1,-1,4.8
4000306,8.4,8,8,6.5,9.25,-1,-1,-1,8.6
4000307,3,4,5,-1,-1,-1,-1,-1,3.6
4000308,6.8,7.5,5.25,4.5,7.5,-1,-1,-1,6.2
4000309,5.2,4.75,7.25,5.25,6.75,-1,-1,-1,5
4000310,8.2,6.25,-1,-1,-1,6,7,7,5.4
4000311,5.6,6.5,5,5.5,7,-1,-1,-1,5.8
4000312,5,7.5,5.75,6.25,8.25,-1,-1,-1,3.4
4000313,7.6,6.25,5.5,4.75,7.75,-1,-1,-1,8.4
4000314,6.8,6.75,4.25,4.75,7.75,-1,-1,-1,7.4
4000315,6.4,7.75,5.75,7,9.25,-1,-1,-1,6.2
4000316,6.2,6.5,5,6.5,8.25,-1,-1,-1,8
4000317,7,7.25,-1,-1,-1,8,8,8,5.6
4000318,6,5.75,5.75,5.5,8,-1,-1,-1,5.4
4000319,8.4,6.75,-1,-1,-1,8,5,8,6
4000320,7,7.5,3.25,5,8.75,-1,-1,-1,8.2
4000321,7.4,7.25,4.75,6,9.75,-1,-1,-1,7.2
4000322,7,6.75,6.75,7.25,9.5,-1,-1,-1,6.2
4000323,4,6.5,-1,-1,-1,6,6,6,3.8
4000324,7,9,7,6,9.75,-1,-1,-1,7.8
4000325,6.4,6,-1,-1,-1,8,6,8,4.6
4000326,6.8,7.75,3,5.25,6.5,-1,-1,-1,6.2
4000327,5.4,5.5,4,6.25,9,-1,-1,-1,5.6
4000328,8,6.5,-1,-1,-1,6,7,8,6.4
4000329,7.6,6,-1,-1,-1,6,7,7,7.4
4000330,7.4,6.75,4,5.75,8.5,-1,-1,-1,7.8
4000331,4.6,6.25,5.75,5,7.75,-1,-1,-1,8.4
4000332,8,9,6.75,7.5,8.25,-1,-1,-1,6.8
4000333,7.8,6,4.25,4.75,8.25,-1,-1,-1,3
4000334,7.2,8.5,6.75,6.5,9.25,-1,-1,-1,8
4000335,8.4,5.25,-1,-1,-1,7,8,7,8.8
4000336,8.2,6.75,-1,-1,-1,7,8,8,3.4
4000337,3.6,3,3.5,3.25,6.25,-1,-1,-1,3
4000338,8.4,4.25,-1,-1,-1,8,4,8,3.4
4000339,6.6,4.75,6.75,5,8.5,-1,-1,-1,5
4000340,8,4.5,-1,-1,-1,5,8,8,3.8
4000341,5.6,6.25,6.5,5.25,9.5,-1,-1,-1,6.8
4000342,8.2,5.75,-1,-1,-1,6,7,4,6.4
4000343,7.6,5.5,-1,-1,-1,5,6,8,4.6
4000344,7.8,8.5,6.25,6.5,8,-1,-1,-1,7
4000345,8,8.5,-1,-1,-1,7,4,7,7
4000346,7.6,7,4,5.25,8,-1,-1,-1,4
4000347,7,8.25,5.75,5,9.25,-1,-1,-1,6.2
4000348,5.4,7.25,4.75,4,6.25,-1,-1,-1,4.4
4000349,7.4,6.75,-1,-1,-1,7,4,5,7.4
4000350,8.4,8.25,7.5,8.75,9.75,-1,-1,-1,5.8
4000351,5.6,8.5,6.75,6.75,9,-1,-1,-1,6.6
4000352,6.6,8,4.75,6.75,8.75,-1,-1,-1,6.2
4000353,5,7,5.5,5.75,8.25,-1,-1,-1,3
4000354,5,4.25,4.25,4.75,6.5,-1,-1,-1,6
4000355,5.8,6.5,-1,-1,-1,5,6,4,4.8
4000356,7.4,5.5,-1,-1,-1,3,6,3,7
4000357,7.8,6.75,7.25,6.75,9.25,-1,-1,-1,9.2
4000358,6.2,5.25,-1,-1,-1,6,4,7,4.4
4000359,7,7,-1,-1,-1,6,6,7,8.6
4000360,7.4,7.75,8.25,6.5,10,-1,-1,-1,9
4000361,7.4,7.25,7.5,5.25,7.25,-1,-1,-1,6.2
4000362,7.6,7.75,5,5.5,9.5,-1,-1,-1,4.4
4000363,8,5.25,-1,-1,-1,8,8,5,8.6
4000364,8.8,5.5,-1,-1,-1,7,7,7,5
4000365,7,6.5,6.75,5.75,7.5,-1,-1,-1,7.8
4000366,6.4,7,-1,-1,-1,7,3,7,1.8
4000367,3,5,4.75,4,6.25,-1,-1,-1,4.2
4000368,5.8,6.75,-1,-1,-1,6,6,3,8.2
4000369,7.6,7,-1,-1,-1,6,5,8,4.8
4000370,3.6,5,5.5,6.5,6.75,-1,-1,-1,4.2
4000371,7.8,5,-1,-1,-1,4,7,7,5
4000372,8.4,7.75,-1,-1,-1,6,8,7,4.8
4000373,7.4,4.75,-1,-1,-1,6,8,8,4.8
4000374,7.2,6.75,-1,-1,-1,5,6,7,5
4000375,3.4,5,5.5,4,8.25,-1,-1,-1,2.4
4000376,9.8,6,-1,-1,-1,6,10,10,6
4000377,4,5.75,4.25,4.75,5.75,-1,-1,-1,3.6
4000378,7.6,7.5,-1,-1,-1,6,8,6,7
4000379,7.4,6.5,-1,-1,-1,6,7,8,5.6
4000380,7.2,5.5,-1,-1,-1,6,6,8,5
4000381,7.6,7,-1,-1,-1,7,8,6,9.6
4000382,4.4,6.75,3.25,5.25,8.75,-1,-1,-1,3
4000383,7.8,8.75,7,7.25,8.5,-1,-1,-1,4.6
4000384,5,7,-1,-1,-1,6,6,4,5.2
4000385,5.6,6.25,7.5,7.75,9.25,-1,-1,-1,5.2
4000386,7,6,7.5,8,8.75,-1,-1,-1,7.2
4000387,7.6,8.25,7,7.5,9,-1,-1,-1,7.2
4000388,7.4,7,-1,-1,-1,6,5,7,4.6
4000389,4.8,4,7.75,5.5,7.25,-1,-1,-1,2.4
4000390,8.2,6.5,-1,-1,-1,7,6,8,6.2
4000391,7.6,7.25,-1,-1,-1,6,6,8,4.8
4000392,8.2,7,-1,-1,-1,5,8,7,9
4000393,6.4,6,-1,-1,-1,6,6,6,3.4
4000394,8.2,7,-1,-1,-1,6,8,5,8.2
4000395,6.8,4.25,-1,-1,-1,8,6,4,7.6
4000396,6.8,6,-1,-1,-1,6,5,6,2
4000397,6.4,7,7.25,4,8.25,-1,-1,-1,7.2
4000398,7.4,5,-1,-1,-1,5,5,4,7.4
4000399,7.6,6,-1,-1,-1,5,7,6,4
4000400,6.8,5.25,-1,-1,-1,5,4,3,3.4
4000401,6.2,8,8.5,7.5,8.75,-1,-1,-1,7.4
4000402,7,6.25,6,5.25,8.25,-1,-1,-1,2.6
4000403,4,5.75,4.75,5.75,7.25,-1,-1,-1,3.8
4000404,8.2,5.5,-1,-1,-1,6,6,8,7.4
4000405,8,5.75,-1,-1,-1,6,6,8,8.2
4000406,3.4,6,-1,-1,-1,5,4,4,2.2
4000407,7.6,8,-1,-1,-1,5,6,6,8.4
4000408,6.6,7.5,-1,-1,-1,6,8,7,9
4000409,7,6.25,-1,-1,-1,4,5,7,4.6
4000410,8.6,6.75,-1,-1,-1,10,6,9,8.8
4000411,8.4,6.25,-1,-1,-1,6,6,6,6.4
4000412,8,7,-1,-1,-1,7,8,8,7.4
4000413,6.6,5,-1,-1,-1,4,4,4,4
4000414,8,7,-1,-1,-1,5,6,5,8.2
4000415,7.2,8,5.25,4.25,8.25,-1,-1,-1,7
4000416,6.6,5.5,-1,-1,-1,5,7,8,3.6
4000417,8,7.5,5.5,6,9,-1,-1,-1,6.4
4000418,6.4,8.25,4.5,6,5.75,-1,-1,-1,5.6
4000419,7.4,6.5,-1,-1,-1,6,8,7,7.2
4000420,5.2,6.5,4.5,4.75,5.75,-1,-1,-1,6.2
4000421,4.6,6,-1,-1,-1,6,2,6,2.6
4000422,7.6,6,-1,-1,-1,6,4,7,8.4
4000423,6.6,8.25,9.75,6.5,9.75,-1,-1,-1,7.4
4000424,4.4,6.5,7,6.5,8.25,-1,-1,-1,6.8
4000425,6.4,4.5,7.75,4.75,9.5,-1,-1,-1,4.2
4000426,7,8.25,6.5,5.5,9.75,-1,-1,-1,6.6
4000427,8.2,7.5,-1,-1,-1,8,5,8,6
4000428,6.2,6.5,6.5,8.5,9,-1,-1,-1,4.2
4000429,6,6.5,5.75,6.25,5.75,-1,-1,-1,3
4000430,6.8,8,5.25,4.75,6.75,-1,-1,-1,6.8
4000431,4.2,5,3,5,6,-1,-1,-1,2.8
